product_key,product_id,product_number,product_name,category_id,category,subcategory,maintenance,product_cost,product_line,start_date,end_date
22,231,OLIV-6PK,Olive Oil - 6PK,PN_CH,,,,78.64,Mountain,2014-01-08,
23,232,SPIN-12PK,Spinach - 12PK,PR_DR,,,,20.6,Road,2013-08-10,2014-06-02
24,233,CHED-12PK,Cheddar Cheese - 12PK,DA_GR,,,,2.57,Other Sales,2020-09-06,
25,234,SALM-250G,Salmon Fillet - 250G,MT_GR,,,,37.12,Touring,2016-06-07,2022-12-08
26,235,WHOL-6PK,Whole Milk - 6PK,DA_CH,Dairy,Cheese,No,42.62,Other Sales,2023-06-22,
27,236,AVOC-1L,Avocados - 1L,PR_FO,,,,72.7,Other Sales,2017-02-09,
28,237,CHOC-6PK,Chocolate Bar - 6PK,SN_CL,,,,27.61,Road,2021-06-02,
29,238,FROZ-EA,Frozen Peas - EA,FR_GR,,,,1.15,Other Sales,2017-02-02,
30,239,SPIN-250G,Spinach - 250G,PR_CL,,,,2.03,Mountain,2017-03-09,2023-07-28
31,240,FROZ-1KG,Frozen Berries - 1KG,FR_GR,,,,43.0,Touring,2013-12-23,
32,241,OLIV-250G,Olive Oil - 250G,PN_FO,,,,67.15,Mountain,2015-12-22,
33,242,PORK-2L,Pork Chops - 2L,MT_PC,,,,26.6,Mountain,2014-02-25,
34,243,POTA-12PK,Potato Chips - 12PK,SN_CL,,,,39.54,Mountain,2013-07-14,
35,244,POTA-1KG,Potato Chips - 1KG,SN_CH,Snacks,Chips,No,8.25,Other Sales,2017-07-03,
36,244,POTA-1KG,Potato Chips - 1KG,SN_CH,Snacks,Chocolate,Yes,8.25,Other Sales,2017-07-03,
37,245,FROZ-FAMILY,Frozen Pizza - FAMILY,FR_CL,,,,47.95,Other Sales,2015-08-15,
38,246,BINB-500G,Bin Bags - 500G,HH_PC,,,,13.87,Touring,2024-03-15,2027-06-10
39,247,SOUR-12PK,Sour Cream - 12PK,DA_GR,,,,42.36,Other Sales,2017-07-04,
40,248,BODY-1L,Body Wash - 1L,HB_GR,,,,46.78,Road,2023-10-16,
41,249,TUNA-FAMILY,Tuna Cans - FAMILY,PN_PC,,,,,Mountain,2023-06-04,2025-07-24
42,250,NAPP-12PK,Nappies - 12PK,HB_CH,,,,63.38,Mountain,2019-11-02,
43,251,PAIN-FAMILY,Pain Relief - FAMILY,HB_CL,,,,22.43,Mountain,2014-03-29,
44,252,SPIN-2L,Spinach - 2L,PR_GR,,,,40.92,Road,2022-06-24,2024-02-08
45,253,WHOL-1L,Whole Milk - 1L,DA_FO,,,,64.71,Mountain,2015-06-23,2017-05-03
46,254,DISH-1L,Dish Liquid - 1L,HH_GR,,,,45.33,Road,2022-05-24,2026-09-28
47,255,LAUN-EA,Laundry Powder - EA,HH_DR,,,,48.49,Road,2020-08-04,
48,256,SPRI-EA,Spring Water - EA,BV_CL,,,,67.29,Road,2024-10-16,
49,257,BAKE-2L,Baked Beans - 2L,PN_CH,,,,9.88,Mountain,2020-08-19,
50,258,PORK-12PK,Pork Chops - 12PK,MT_DR,,,,38.55,Road,2012-01-26,
51,259,LAUN-FAMILY,Laundry Powder - FAMILY,HH_GR,,,,62.01,Mountain,2024-07-29,
52,260,SPRI-6PK,Spring Water - 6PK,BV_FO,,,,56.03,Touring,2019-07-16,2025-10-12
53,261,WHOL-EA,Wholemeal Bread - EA,BK_CL,,,,44.61,Touring,2021-06-03,
54,262,PAPE-2L,Paper Towels - 2L,HH_PC,,,,67.88,Other Sales,2018-06-08,
55,263,FROZ-1L,Frozen Pizza - 1L,FR_PC,,,,75.12,Other Sales,2021-07-09,
56,264,SPAR-1L,Sparkling Water - 1L,BV_DR,,,,72.72,Mountain,2017-11-24,
57,265,BAGE-1KG,Bagels - 1KG,BK_PC,,,,35.18,Touring,2013-03-21,
58,266,SOUR-EA,Sour Cream - EA,DA_CL,,,,21.19,Mountain,2015-07-06,
59,267,HAND-1L,Hand Soap - 1L,HB_FO,,,,17.31,Touring,2018-04-19,
60,268,SPAR-500G,Sparkling Water - 500G,BV_PC,,,,28.28,Road,2021-09-20,
61,269,CHOC-XL,Chocolate Bar - XL,SN_FO,,,,49.13,Road,2024-05-08,2028-09-23
62,270,CHOC-FAMILY,Chocolate Cake - FAMILY,BK_CH,,,,49.47,Touring,2012-07-23,
63,271,BODY-EA,Body Wash - EA,HB_CH,,,,19.7,Road,2012-06-25,2018-07-26
64,272,MOZZ-1L,Mozzarella - 1L,DA_DR,,,,28.91,Mountain,2018-11-14,2021-03-15
65,273,BAKE-12PK,Baked Beans - 12PK,PN_CL,,,,76.91,Road,2012-09-05,
66,274,SUGA-2L,Sugar - 2L,PN_CH,,,,3.1,Other Sales,2016-09-12,2019-12-08
67,275,WHIT-250G,White Bread - 250G,BK_FO,,,,44.33,Other Sales,2018-06-17,2022-08-09
68,276,DISH-12PK,Dish Liquid - 12PK,HH_GR,,,,12.23,Other Sales,2019-11-06,2009-11-18
69,277,BASM-XL,Basmati Rice - XL,PN_CL,,,,49.45,Touring,2022-10-21,2029-06-19
70,278,BAGE-FAMILY,Bagels - FAMILY,BK_PC,,,,5.98,Mountain,2017-10-08,
71,279,LAMB-6PK,Lamb Leg - 6PK,MT_GR,,,,14.22,Mountain,2022-03-25,
72,280,FROZ-FAMILY,Frozen Pizza - FAMILY,FR_PC,,,,3.22,Mountain,2013-06-18,
73,281,FROZ-EA,Frozen Berries - EA,FR_CL,,,,43.29,Mountain,2025-02-09,
74,282,TUNA-500G,Tuna Cans - 500G,PN_CH,,,,24.3,Touring,2015-12-15,2017-04-26
75,283,NAPP-1KG,Nappies - 1KG,HB_FO,,,,,Road,2014-06-18,
76,284,ORAN-500G,Orange Juice - 500G,BV_FO,,,,21.21,Mountain,2015-01-02,2011-11-20
77,285,FROZ-FAMILY,Frozen Pizza - FAMILY,FR_CL,,,,45.28,Touring,2024-09-27,2026-07-29
78,286,PRAW-XL,Prawns - XL,MT_GR,,,,50.71,Other Sales,2012-05-14,
79,287,SURF-6PK,Surface Spray - 6PK,HH_PC,,,,36.05,Road,2020-10-09,
80,288,PAPE-500G,Paper Towels - 500G,HH_CH,,,,53.91,Touring,2013-08-31,
81,289,CRAC-FAMILY,Crackers - FAMILY,SN_CH,Snacks,Chips,No,65.36,Road,2024-08-24,
82,289,CRAC-FAMILY,Crackers - FAMILY,SN_CH,Snacks,Chocolate,Yes,65.36,Road,2024-08-24,
83,290,LAUN-250G,Laundry Powder - 250G,HH_PC,,,,24.26,Mountain,2024-06-13,
84,291,GREE-500G,Green Tea - 500G,BV_PC,,,,78.25,Other Sales,2022-07-07,
85,292,HAND-6PK,Hand Soap - 6PK,HB_GR,,,,1.9,Road,2021-02-18,
86,293,MOZZ-XL,Mozzarella - XL,DA_CL,,,,17.66,Touring,2015-10-25,2017-02-03
87,294,SPAR-6PK,Sparkling Water - 6PK,BV_PC,,,,40.83,Touring,2019-04-29,2023-03-02
88,295,LAMB-EA,Lamb Leg - EA,MT_FO,,,,42.78,Road,2023-06-18,
89,296,TOOT-6PK,Toothpaste - 6PK,HB_DR,,,,9.81,Road,2019-07-15,2024-02-19
90,297,GREE-XL,Greek Yoghurt - XL,DA_FO,,,,,Road,2021-02-21,
91,298,SPRI-1L,Spring Water - 1L,BV_GR,,,,35.34,Touring,2016-09-13,
92,299,BAGE-12PK,Bagels - 12PK,BK_DR,,,,9.62,Road,2023-10-11,
93,300,BINB-FAMILY,Bin Bags - FAMILY,HH_CL,Household,Cleaning,Yes,44.89,Road,2021-12-13,
94,301,MUFF-500G,Muffins - 500G,BK_CH,,,,23.53,Mountain,2018-06-19,2024-04-19
95,302,SPIN-2L,Spinach - 2L,PR_FO,,,,50.91,Other Sales,2025-09-16,
96,303,COOK-250G,Cookies - 250G,SN_CH,Snacks,Chips,No,,Road,2019-04-12,
97,303,COOK-250G,Cookies - 250G,SN_CH,Snacks,Chocolate,Yes,,Road,2019-04-12,
98,304,BINB-6PK,Bin Bags - 6PK,HH_PC,,,,38.08,Road,2014-03-05,
99,305,COOK-1KG,Cookies - 1KG,SN_PC,,,,66.88,Touring,2015-10-22,2020-05-02
100,306,TOIL-XL,Toilet Paper - XL,HH_CH,,,,27.82,Mountain,2022-02-06,
101,307,AVOC-EA,Avocados - EA,PR_FO,,,,42.04,Road,2014-03-01,
102,308,SHAM-12PK,Shampoo - 12PK,HB_CL,,,,41.77,Other Sales,2023-11-03,
103,309,FROZ-1L,Frozen Chips - 1L,FR_DR,,,,,Mountain,2019-05-23,2009-05-19
104,310,LETT-XL,Lettuce - XL,PR_FO,,,,15.98,Touring,2019-08-14,
105,311,HAND-FAMILY,Hand Soap - FAMILY,HB_CL,,,,33.27,Mountain,2012-10-19,2017-07-02
106,312,BURG-12PK,Burger Buns - 12PK,BK_FO,,,,52.75,Road,2019-07-30,2020-04-30
107,313,SPAR-1L,Sparkling Water - 1L,BV_CL,,,,,Other Sales,2019-04-12,2021-10-17
108,314,SPAR-FAMILY,Sparkling Water - FAMILY,BV_DR,,,,,Mountain,2025-05-04,2031-06-02
109,315,BAGE-1L,Bagels - 1L,BK_PC,,,,77.48,Road,2015-03-18,
110,316,MOZZ-6PK,Mozzarella - 6PK,DA_CL,,,,13.16,Mountain,2022-06-14,2023-06-07
111,317,PAPE-6PK,Paper Towels - 6PK,HH_CH,,,,10.9,Road,2015-09-30,
112,318,PRAW-250G,Prawns - 250G,MT_CL,,,,68.15,Touring,2025-01-29,2031-11-17
113,319,CHOC-2L,Chocolate Cake - 2L,BK_GR,,,,22.21,Other Sales,2015-03-24,
114,320,ICEC-1L,Ice Cream Tub - 1L,FR_DR,,,,35.7,Other Sales,2024-01-02,
115,321,SOUR-1KG,Sour Cream - 1KG,DA_GR,,,,43.71,Touring,2013-09-23,2015-06-14
116,322,TOIL-6PK,Toilet Paper - 6PK,HH_PC,,,,30.89,Other Sales,2018-11-24,
117,323,TOOT-EA,Toothpaste - EA,HB_FO,,,,58.32,Road,2024-01-21,2028-11-29
118,324,BODY-500G,Body Wash - 500G,HB_CH,,,,36.86,Other Sales,2015-10-18,
119,325,CREA-12PK,Cream Cheese - 12PK,DA_FO,,,,25.96,Touring,2024-10-15,
120,326,ORAN-2L,Orange Juice - 2L,BV_PC,,,,64.43,Other Sales,2025-03-23,
121,327,NAPP-XL,Nappies - XL,HB_GR,,,,58.19,Touring,2016-05-12,
122,328,COOK-1KG,Cookies - 1KG,SN_PC,,,,36.82,Other Sales,2012-04-02,
123,329,SHAM-2L,Shampoo - 2L,HB_PC,,,,68.46,Road,2015-03-13,2019-10-09
124,330,SHAM-12PK,Shampoo - 12PK,HB_GR,,,,22.42,Road,2018-12-12,
125,331,SUGA-2L,Sugar - 2L,PN_FO,,,,69.47,Touring,2014-06-03,
126,332,CHOC-500G,Chocolate Cake - 500G,BK_CL,,,,41.94,Road,2012-09-15,2017-12-19
127,333,POTA-1L,Potatoes - 1L,PR_CH,,,,33.82,Mountain,2020-07-14,
128,334,POPC-12PK,Popcorn - 12PK,SN_DR,,,,,Touring,2015-03-11,
129,335,CROI-2L,Croissant - 2L,BK_CL,,,,4.33,Mountain,2012-02-15,2016-08-19
130,336,PAIN-XL,Pain Relief - XL,HB_PC,,,,43.3,Mountain,2012-10-09,
131,337,FISH-12PK,Fish Fingers - 12PK,FR_DR,,,,,Touring,2017-11-13,2019-06-18
132,338,SOUR-250G,Sour Cream - 250G,DA_FO,,,,23.02,Mountain,2015-01-14,
133,339,PAPE-FAMILY,Paper Towels - FAMILY,HH_GR,,,,21.92,Other Sales,2016-06-01,
134,340,CHIC-250G,Chicken Breast - 250G,MT_CH,Meat & Seafood,Chicken,No,76.36,Touring,2012-11-07,
135,341,GREE-EA,Green Tea - EA,BV_FO,,,,30.18,Other Sales,2014-10-28,2020-01-03
136,342,CHOC-XL,Chocolate Bar - XL,SN_DR,,,,6.46,Other Sales,2020-12-31,2007-01-07
137,343,BAGE-500G,Bagels - 500G,BK_CL,,,,0.71,Mountain,2016-06-22,2018-11-07
138,344,APPL-6PK,Apples - 6PK,PR_CL,,,,51.07,Mountain,2012-08-07,
139,345,ORAN-1L,Oranges - 1L,PR_CH,,,,,Road,2015-02-19,
140,346,TOIL-XL,Toilet Paper - XL,HH_FO,,,,68.59,Road,2017-08-30,2018-05-01
141,347,POPC-XL,Popcorn - XL,SN_CL,,,,22.73,Touring,2023-11-19,2011-03-06
142,348,DISH-1L,Dish Liquid - 1L,HH_DR,,,,0.57,Road,2014-07-30,
143,349,WHIT-12PK,White Bread - 12PK,BK_CH,,,,32.79,Touring,2015-09-03,2022-01-16
144,350,TOMA-250G,Tomatoes - 250G,PR_CL,,,,8.46,Mountain,2023-05-02,2025-09-23
145,351,WHIT-12PK,White Bread - 12PK,BK_FO,,,,17.44,Other Sales,2020-08-15,
146,352,BODY-EA,Body Wash - EA,HB_PC,,,,63.05,Road,2020-08-30,
147,353,SPRI-1KG,Spring Water - 1KG,BV_CL,,,,,Mountain,2020-09-16,
148,354,PRAW-FAMILY,Prawns - FAMILY,MT_GR,,,,53.2,Mountain,2018-01-27,2020-04-06
149,355,BURG-6PK,Burger Buns - 6PK,BK_CL,,,,17.01,Touring,2025-05-15,
150,356,GREE-FAMILY,Green Tea - FAMILY,BV_CL,,,,4.16,Mountain,2017-03-30,
151,357,ORAN-250G,Oranges - 250G,PR_PC,,,,40.56,Touring,2024-12-29,
152,358,POTA-250G,Potatoes - 250G,PR_CH,,,,44.57,Touring,2014-08-25,2017-06-14
153,359,PORK-250G,Pork Chops - 250G,MT_PC,,,,40.0,Touring,2016-08-23,2018-04-29
154,360,CHOC-XL,Chocolate Cake - XL,BK_CL,,,,28.06,Other Sales,2022-02-02,
155,361,TOIL-2L,Toilet Paper - 2L,HH_CH,,,,43.35,Mountain,2012-07-16,
156,362,OLIV-XL,Olive Oil - XL,PN_GR,,,,75.78,Touring,2018-06-12,2022-04-19
157,363,BAGE-1L,Bagels - 1L,BK_FO,,,,,Mountain,2019-08-15,
158,364,COLA-1L,Cola - 1L,BV_CL,,,,75.0,Road,2020-05-18,2027-01-14
159,365,PORK-1KG,Pork Chops - 1KG,MT_CL,,,,66.45,Road,2020-09-01,
160,366,MOZZ-6PK,Mozzarella - 6PK,DA_GR,,,,25.53,Other Sales,2024-06-14,
161,367,FISH-1KG,Fish Fingers - 1KG,FR_CL,,,,12.81,Other Sales,2014-05-20,
162,368,CHOC-1KG,Chocolate Bar - 1KG,SN_GR,,,,33.49,Mountain,2020-04-28,
163,369,TOMA-250G,Tomatoes - 250G,PR_CL,,,,15.43,Mountain,2012-10-31,
164,370,BINB-1L,Bin Bags - 1L,HH_PC,,,,72.86,Other Sales,2012-10-17,
165,371,CARR-6PK,Carrots - 6PK,PR_FO,,,,16.12,Road,2013-08-21,2016-08-02
166,372,MIXE-EA,Mixed Nuts - EA,SN_DR,,,,75.01,Other Sales,2014-09-12,
167,373,SURF-12PK,Surface Spray - 12PK,HH_CL,Household,Cleaning,Yes,21.04,Touring,2014-09-18,2017-12-30
168,374,TOMA-2L,Tomatoes - 2L,PR_CL,,,,58.59,Mountain,2016-07-30,2017-05-30
169,375,CROI-500G,Croissant - 500G,BK_CH,,,,32.41,Road,2018-07-13,
170,376,AVOC-6PK,Avocados - 6PK,PR_PC,,,,13.92,Mountain,2014-02-08,
171,377,PAIN-XL,Pain Relief - XL,HB_CL,,,,38.66,Road,2023-12-04,
172,378,SPIN-EA,Spinach - EA,PR_DR,,,,22.84,Mountain,2024-05-06,
173,379,SURF-1KG,Surface Spray - 1KG,HH_DR,,,,41.17,Touring,2015-04-21,2015-11-08
174,380,GREE-250G,Green Tea - 250G,BV_DR,,,,13.69,Touring,2023-01-16,2027-02-12
175,381,SOUR-250G,Sour Cream - 250G,DA_FO,,,,2.04,Touring,2016-01-22,
176,382,POTA-EA,Potato Chips - EA,SN_DR,,,,76.26,Touring,2019-11-18,
177,383,ENER-500G,Energy Drink - 500G,BV_DR,,,,,Road,2017-03-03,
178,384,BURG-500G,Burger Buns - 500G,BK_CL,,,,57.81,Touring,2023-09-23,2029-05-13
179,385,ICEC-250G,Ice Cream Tub - 250G,FR_GR,,,,1.08,Mountain,2016-05-15,2019-01-24
180,386,TOIL-12PK,Toilet Paper - 12PK,HH_CH,,,,69.62,Other Sales,2024-07-12,
181,387,POTA-2L,Potato Chips - 2L,SN_CH,Snacks,Chips,No,47.01,Road,2021-03-15,
182,387,POTA-2L,Potato Chips - 2L,SN_CH,Snacks,Chocolate,Yes,47.01,Road,2021-03-15,
183,388,COOK-FAMILY,Cookies - FAMILY,SN_CH,Snacks,Chips,No,2.16,Road,2013-01-17,
184,388,COOK-FAMILY,Cookies - FAMILY,SN_CH,Snacks,Chocolate,Yes,2.16,Road,2013-01-17,
185,389,FROZ-2L,Frozen Chips - 2L,FR_CH,,,,67.53,Other Sales,2019-10-24,
186,390,PAPE-250G,Paper Towels - 250G,HH_GR,,,,58.49,Other Sales,2024-02-26,
187,391,BEEF-EA,Beef Mince - EA,MT_CL,,,,1.09,Mountain,2023-03-25,
188,392,CARR-250G,Carrots - 250G,PR_FO,,,,53.91,Mountain,2012-05-05,2017-11-13
189,393,INST-1KG,Instant Coffee - 1KG,BV_PC,,,,21.98,Road,2022-03-29,2027-07-31
190,394,PAIN-2L,Pain Relief - 2L,HB_PC,,,,51.45,Road,2022-06-01,
191,395,BROC-2L,Broccoli - 2L,PR_FO,,,,34.03,Touring,2019-09-20,
192,396,ORAN-XL,Oranges - XL,PR_PC,,,,74.32,Road,2017-06-10,
193,397,BEEF-1KG,Beef Mince - 1KG,MT_PC,,,,,Other Sales,2021-03-18,
194,398,BUTT-XL,Butter Block - XL,DA_CL,,,,49.93,Mountain,2013-01-02,
195,399,BAKE-FAMILY,Baked Beans - FAMILY,PN_DR,,,,46.38,Touring,2020-07-05,2021-03-30
196,400,APPL-500G,Apples - 500G,PR_GR,,,,2.97,Other Sales,2013-10-28,2018-07-13
197,401,BASM-2L,Basmati Rice - 2L,PN_PC,,,,58.98,Touring,2015-06-29,2021-05-14
198,402,SUGA-1L,Sugar - 1L,PN_DR,,,,48.53,Mountain,2022-12-27,
199,403,BURG-1KG,Burger Buns - 1KG,BK_FO,,,,7.17,Road,2016-10-13,
200,404,FROZ-1L,Frozen Peas - 1L,FR_CH,,,,71.8,Touring,2020-07-05,
201,405,FROZ-6PK,Frozen Peas - 6PK,FR_FO,,,,7.39,Mountain,2012-04-11,
202,406,GREE-FAMILY,Green Tea - FAMILY,BV_GR,,,,0.65,Mountain,2012-02-26,
203,407,COOK-2L,Cookies - 2L,SN_GR,,,,33.07,Other Sales,2023-02-02,2027-12-17
204,408,COOK-FAMILY,Cookies - FAMILY,SN_PC,,,,12.6,Other Sales,2023-11-08,2029-09-07
205,409,WHOL-6PK,Whole Milk - 6PK,DA_CH,Dairy,Cheese,No,49.27,Road,2020-01-04,
206,410,PAIN-XL,Pain Relief - XL,HB_FO,,,,13.02,Other Sales,2018-11-07,2022-12-30
207,411,ORAN-500G,Oranges - 500G,PR_CH,,,,59.59,Road,2022-07-02,
208,412,ENER-6PK,Energy Drink - 6PK,BV_GR,,,,49.28,Other Sales,2024-08-03,2029-08-14
209,413,BAGE-12PK,Bagels - 12PK,BK_GR,,,,56.59,Road,2022-07-25,
210,414,BINB-1KG,Bin Bags - 1KG,HH_CH,,,,8.49,Mountain,2025-11-15,2011-12-19
211,415,CROI-EA,Croissant - EA,BK_PC,,,,22.86,Touring,2025-08-11,
212,416,GREE-FAMILY,Green Tea - FAMILY,BV_PC,,,,67.39,Mountain,2017-07-10,
213,417,FISH-6PK,Fish Fingers - 6PK,FR_CL,,,,53.38,Road,2020-01-13,
214,418,MOZZ-1KG,Mozzarella - 1KG,DA_FO,,,,45.0,Road,2023-10-04,
215,419,BINB-6PK,Bin Bags - 6PK,HH_FO,,,,11.06,Touring,2024-01-02,
216,420,BURG-EA,Burger Buns - EA,BK_CL,,,,,Road,2025-12-24,2031-12-11
217,421,MOZZ-XL,Mozzarella - XL,DA_PC,,,,74.84,Other Sales,2024-08-19,
218,422,FROZ-FAMILY,Frozen Pizza - FAMILY,FR_DR,,,,47.87,Mountain,2015-10-25,2019-08-01
219,423,WHIT-1L,White Bread - 1L,BK_CH,,,,14.9,Road,2015-02-18,
220,424,SURF-12PK,Surface Spray - 12PK,HH_PC,,,,28.8,Other Sales,2015-12-02,
221,425,BEEF-XL,Beef Mince - XL,MT_GR,,,,69.35,Mountain,2013-07-21,
222,426,POTA-250G,Potatoes - 250G,PR_CH,,,,46.47,Mountain,2023-11-21,
223,427,COLA-1L,Cola - 1L,BV_CL,,,,24.23,Other Sales,2015-01-17,
224,428,FROZ-250G,Frozen Pizza - 250G,FR_PC,,,,61.32,Touring,2024-04-28,
225,429,TOMA-FAMILY,Tomato Sauce - FAMILY,PN_GR,,,,20.3,Other Sales,2024-12-23,2027-11-21
226,430,SAUS-12PK,Sausages - 12PK,MT_FO,,,,,Other Sales,2018-03-22,
227,431,CHOC-1KG,Chocolate Bar - 1KG,SN_DR,,,,39.11,Road,2013-05-20,
228,432,FROZ-XL,Frozen Berries - XL,FR_FO,,,,62.97,Touring,2013-06-17,
229,433,ORAN-12PK,Orange Juice - 12PK,BV_CL,,,,45.5,Mountain,2020-05-23,
230,434,POTA-1L,Potato Chips - 1L,SN_GR,,,,28.84,Road,2023-04-22,
231,435,BAGE-250G,Bagels - 250G,BK_CH,,,,5.7,Touring,2022-11-21,2027-04-08
232,436,ORAN-1KG,Oranges - 1KG,PR_CL,,,,74.32,Other Sales,2014-03-28,
233,437,BURG-FAMILY,Burger Buns - FAMILY,BK_CH,,,,40.3,Touring,2020-05-29,2021-02-01
234,438,SPRI-FAMILY,Spring Water - FAMILY,BV_FO,,,,,Other Sales,2022-09-29,
235,439,BUTT-1KG,Butter Block - 1KG,DA_GR,,,,75.42,Road,2022-06-24,
236,440,MOZZ-1L,Mozzarella - 1L,DA_CH,Dairy,Cheese,No,12.44,Mountain,2025-09-05,2030-01-20
237,441,TOMA-2L,Tomato Sauce - 2L,PN_FO,,,,20.84,Other Sales,2018-11-09,
238,442,SAUS-250G,Sausages - 250G,MT_PC,,,,6.06,Touring,2018-01-03,2023-01-05
239,443,SPRI-6PK,Spring Water - 6PK,BV_DR,,,,8.31,Road,2017-02-16,
240,444,BODY-12PK,Body Wash - 12PK,HB_FO,,,,42.06,Road,2025-05-01,
241,445,SPAG-1KG,Spaghetti - 1KG,PN_CL,,,,40.25,Other Sales,2012-02-19,
242,446,MIXE-250G,Mixed Nuts - 250G,SN_CL,,,,28.71,Other Sales,2021-06-18,
243,447,INST-FAMILY,Instant Coffee - FAMILY,BV_CH,,,,57.22,Other Sales,2018-06-27,
244,448,INST-FAMILY,Instant Coffee - FAMILY,BV_FO,,,,59.37,Mountain,2014-04-11,2018-02-12
245,449,POPC-2L,Popcorn - 2L,SN_GR,,,,50.73,Touring,2024-09-09,
246,450,SOUR-2L,Sour Cream - 2L,DA_DR,,,,26.1,Mountain,2021-08-07,
247,451,FISH-12PK,Fish Fingers - 12PK,FR_GR,,,,32.67,Road,2012-08-11,
248,452,SHAM-XL,Shampoo - XL,HB_DR,,,,17.58,Touring,2016-02-16,
249,453,WHOL-1L,Whole Milk - 1L,DA_FO,,,,45.6,Road,2017-10-21,
250,454,MUES-2L,Muesli Bars - 2L,SN_DR,,,,54.2,Touring,2012-12-13,
251,455,CREA-1KG,Cream Cheese - 1KG,DA_FO,,,,3.43,Road,2013-02-06,
252,456,OLIV-XL,Olive Oil - XL,PN_FO,,,,45.33,Mountain,2016-08-20,
253,457,SOUR-2L,Sour Cream - 2L,DA_DR,,,,31.3,Touring,2014-04-07,
254,458,BROC-1L,Broccoli - 1L,PR_PC,,,,42.52,Road,2015-08-08,
255,459,CREA-12PK,Cream Cheese - 12PK,DA_CH,Dairy,Cheese,No,5.41,Other Sales,2014-10-25,
256,460,LAUN-EA,Laundry Powder - EA,HH_CL,Household,Cleaning,Yes,52.8,Touring,2024-12-08,
257,461,CHOC-250G,Chocolate Cake - 250G,BK_PC,,,,19.98,Mountain,2019-07-02,
258,462,MUES-XL,Muesli Bars - XL,SN_FO,,,,39.59,Mountain,2019-11-03,2022-03-13
259,463,TOOT-250G,Toothpaste - 250G,HB_GR,,,,49.21,Mountain,2018-03-14,2020-08-13
260,464,ORAN-FAMILY,Orange Juice - FAMILY,BV_FO,,,,66.43,Road,2017-05-15,
261,465,BODY-250G,Body Wash - 250G,HB_PC,,,,33.33,Road,2014-11-10,
262,466,FISH-EA,Fish Fingers - EA,FR_CL,,,,34.78,Mountain,2023-05-14,2026-07-23
263,467,LAMB-12PK,Lamb Leg - 12PK,MT_FO,,,,25.83,Touring,2025-10-05,
264,468,SAUS-1KG,Sausages - 1KG,MT_CH,Meat & Seafood,Chicken,No,16.98,Mountain,2013-03-20,
265,469,OLIV-XL,Olive Oil - XL,PN_CH,,,,68.84,Touring,2015-02-26,2015-09-19
266,470,SPAR-XL,Sparkling Water - XL,BV_GR,,,,52.79,Road,2015-11-17,
267,471,HAND-250G,Hand Soap - 250G,HB_DR,,,,28.89,Other Sales,2020-01-27,2021-12-03
268,472,LAMB-500G,Lamb Leg - 500G,MT_DR,,,,23.2,Other Sales,2019-04-25,2020-09-07
269,473,COLA-1L,Cola - 1L,BV_PC,,,,9.45,Other Sales,2012-10-04,2016-09-28
